<<<<<<< HEAD
0, 960042
0.038004, 4.54294
0.076724, 4.54282
0.110709, 4.54269
0.143305, 4.54256
0.174971, 4.54244
0.207349, 4.54231
0.240085, 4.54219
0.273316, 4.54207
0.305824, 4.54195
0.338367, 4.54184
0.370619, 4.54173
0.402615, 4.54163
0.436771, 4.5416
0.475595, 4.54173
=======
0, 2.62287
0.043813, 2.62287
0.0876823, 2.6228
0.131501, 2.62273
0.175282, 2.62268
0.21905, 2.62265
0.262801, 2.62295
>>>>>>> a3f32770e569a4db99b8594c398d069d60676cac
