254,279,278
289,313,312
136,137,159
278,277,253
436,417,437
353,375,352
489,502,501
186,209,185
426,425,405
118,139,117
228,227,204
141,164,163
32,48,47
93,73,74
183,160,184
12,13,26
12,26,25
58,57,40
42,60,59
95,75,76
310,309,286
132,155,154
25,11,12
180,181,204
229,253,228
206,229,205
308,284,285
413,432,412
370,369,347
433,413,414
394,372,373
416,415,395
470,485,469
394,393,372
394,373,395
230,229,206
140,141,163
28,27,14
332,331,308
350,351,373
401,400,379
238,214,215
506,493,494
380,379,357
480,463,481
362,385,384
260,261,285
104,125,124
18,32,31
187,163,164
97,117,96
122,102,123
29,28,15
10,11,24
18,17,7
2,13,12
7,17,6
16,6,17
75,56,57
55,73,54
227,203,204
40,24,25
54,53,36
74,73,55
76,75,57
24,23,9
55,36,37
13,2,3
13,3,14
41,40,25
24,39,23
10,1,11
11,1,12
58,40,41
44,43,28
162,139,140
120,119,99
95,116,115
117,97,118
163,162,140
117,116,96
133,112,134
115,136,114
162,185,161
183,206,182
187,210,186
161,160,138
350,349,326
165,188,164
226,250,225
159,158,136
230,254,229
276,300,299
249,225,250
154,155,178
157,180,156
201,177,178
226,251,250
252,277,276
249,248,224
224,225,249
297,296,273
91,71,72
251,275,250
275,299,298
430,448,429
91,90,71
368,345,346
276,251,252
371,348,349
324,300,301
412,431,411
369,346,347
344,367,366
320,321,344
346,369,368
450,466,449
411,391,412
389,410,409
466,450,467
454,453,435
468,484,483
414,413,393
452,434,453
483,484,497
452,451,433
435,453,434
451,468,450
471,470,453
484,468,469
484,469,485
500,487,488
455,437,456
472,454,455
472,471,454
454,436,455
395,373,374
418,419,438
436,435,416
392,371,393
303,302,279
375,396,374
417,416,396
351,374,373
324,323,300
371,349,372
325,302,326
396,395,374
372,349,350
331,307,308
282,281,257
309,332,308
307,284,308
310,333,309
188,212,211
438,456,437
309,308,285
306,330,329
354,377,376
311,335,334
355,354,331
436,437,455
377,354,355
499,487,500
472,455,473
475,490,474
488,472,473
493,505,492
474,489,473
458,457,439
437,417,418
493,492,477
502,511,501
403,381,382
311,334,310
494,479,495
423,422,402
363,385,362
