185, 8, 7
185, 0, 8
0, 186, 8
186, 9, 8
186, 1, 9
0, 1, 186
1, 187, 9
187, 10, 9
187, 2, 10
1, 2, 187
2, 188, 10
188, 11, 10
188, 3, 11
2, 3, 188
3, 189, 11
189, 12, 11
189, 4, 12
3, 4, 189
4, 190, 12
190, 13, 12
190, 5, 13
4, 5, 190
5, 191, 13
191, 14, 13
191, 6, 14
5, 6, 191
6, 192, 14
192, 15, 14
193, 17, 16
193, 7, 17
7, 194, 17
194, 18, 17
194, 8, 18
7, 8, 194
8, 195, 18
195, 19, 18
195, 9, 19
8, 9, 195
9, 196, 19
196, 20, 19
196, 10, 20
9, 10, 196
10, 197, 20
197, 21, 20
197, 11, 21
10, 11, 197
11, 198, 21
198, 22, 21
198, 12, 22
11, 12, 198
12, 199, 22
199, 23, 22
199, 13, 23
12, 13, 199
13, 200, 23
200, 24, 23
200, 14, 24
13, 14, 200
14, 201, 24
201, 25, 24
201, 15, 25
14, 15, 201
15, 202, 25
202, 26, 25
203, 28, 27
203, 16, 28
16, 204, 28
204, 29, 28
204, 17, 29
16, 17, 204
17, 205, 29
205, 30, 29
205, 18, 30
17, 18, 205
18, 206, 30
206, 31, 30
206, 19, 31
18, 19, 206
19, 207, 31
207, 32, 31
207, 20, 32
19, 20, 207
20, 208, 32
208, 33, 32
208, 21, 33
20, 21, 208
21, 209, 33
209, 34, 33
209, 22, 34
21, 22, 209
22, 210, 34
210, 35, 34
210, 23, 35
22, 23, 210
23, 211, 35
211, 36, 35
211, 24, 36
23, 24, 211
24, 212, 36
212, 37, 36
212, 25, 37
24, 25, 212
25, 213, 37
213, 38, 37
213, 26, 38
25, 26, 213
26, 214, 38
214, 39, 38
215, 41, 40
215, 27, 41
27, 216, 41
216, 42, 41
216, 28, 42
27, 28, 216
28, 217, 42
217, 43, 42
217, 29, 43
28, 29, 217
29, 218, 43
218, 44, 43
218, 30, 44
29, 30, 218
30, 219, 44
219, 45, 44
219, 31, 45
30, 31, 219
31, 220, 45
220, 46, 45
220, 32, 46
31, 32, 220
32, 221, 46
221, 47, 46
221, 33, 47
32, 33, 221
33, 222, 47
222, 48, 47
222, 34, 48
33, 34, 222
34, 223, 48
223, 49, 48
223, 35, 49
34, 35, 223
35, 224, 49
224, 50, 49
224, 36, 50
35, 36, 224
36, 225, 50
225, 51, 50
225, 37, 51
36, 37, 225
37, 226, 51
226, 52, 51
226, 38, 52
37, 38, 226
38, 227, 52
227, 53, 52
227, 39, 53
38, 39, 227
39, 228, 53
228, 54, 53
40, 229, 55
229, 56, 55
229, 41, 56
40, 41, 229
41, 230, 56
230, 57, 56
230, 42, 57
41, 42, 230
42, 231, 57
231, 58, 57
231, 43, 58
42, 43, 231
43, 232, 58
232, 59, 58
232, 44, 59
43, 44, 232
44, 233, 59
233, 60, 59
233, 45, 60
44, 45, 233
45, 234, 60
234, 61, 60
234, 46, 61
45, 46, 234
46, 235, 61
235, 62, 61
235, 47, 62
46, 47, 235
47, 236, 62
236, 63, 62
236, 48, 63
47, 48, 236
48, 237, 63
237, 64, 63
237, 49, 64
48, 49, 237
49, 238, 64
238, 65, 64
238, 50, 65
49, 50, 238
50, 239, 65
239, 66, 65
239, 51, 66
50, 51, 239
51, 240, 66
240, 67, 66
240, 52, 67
51, 52, 240
52, 241, 67
241, 68, 67
241, 53, 68
52, 53, 241
53, 242, 68
242, 69, 68
242, 54, 69
53, 54, 242
55, 243, 70
243, 71, 70
243, 56, 71
55, 56, 243
56, 244, 71
244, 72, 71
244, 57, 72
56, 57, 244
57, 245, 72
245, 73, 72
245, 58, 73
57, 58, 245
58, 246, 73
246, 74, 73
246, 59, 74
58, 59, 246
59, 247, 74
247, 75, 74
247, 60, 75
59, 60, 247
60, 248, 75
248, 76, 75
248, 61, 76
60, 61, 248
61, 249, 76
249, 77, 76
249, 62, 77
61, 62, 249
62, 250, 77
250, 78, 77
250, 63, 78
62, 63, 250
63, 251, 78
251, 79, 78
251, 64, 79
63, 64, 251
64, 252, 79
252, 80, 79
252, 65, 80
64, 65, 252
65, 253, 80
253, 81, 80
253, 66, 81
65, 66, 253
66, 254, 81
254, 82, 81
254, 67, 82
